,x,y,z,bat_number
0,-1.0000000298023224,2.0,-0.4000000059604645,1
1,-1.0019252598285675,2.0759737491607666,-0.4000000059604645,1
2,-1.0076960623264313,2.151752471923828,-0.4000000059604645,1
3,-1.0172975361347198,2.2271416187286377,-0.4000000059604645,1
4,-1.0307051241397858,2.301947832107544,-0.4000000059604645,1
5,-1.0546537935733795,2.3668088912963867,-0.43865087628364563,1
6,-1.075560599565506,2.4398748874664307,-0.43865087628364563,1
7,-1.1001412868499756,2.5117881298065186,-0.43865087628364563,1
8,-1.1283327341079712,2.582364082336426,-0.43865087628364563,1
9,-1.1600626707077026,2.651421546936035,-0.43865087628364563,1
10,-1.236393928527832,2.7330667972564697,-0.4422887712717056,1
11,-1.2749475240707397,2.7985599040985107,-0.4422887712717056,1
12,-1.316768765449524,2.862016201019287,-0.4422887712717056,1
13,-1.3617503643035889,2.9232728481292725,-0.4422887712717056,1
14,-1.4097768068313599,2.9821724891662598,-0.4422887712717056,1
15,-1.4581185579299927,3.0362119674682617,-0.4272766262292862,1
16,-1.5118573904037476,3.0899507999420166,-0.4272766262292862,1
17,-1.568248987197876,3.1408987045288086,-0.4272766262292862,1
18,-1.6271487474441528,3.18892502784729,-0.4272766262292862,1
19,-1.6884053945541382,3.2339065074920654,-0.4272766262292862,1
20,-1.7443736791610718,3.254162073135376,-0.44386912882328033,1
21,-1.8098667860031128,3.292715549468994,-0.44386912882328033,1
22,-1.8772284984588623,3.327902317047119,-0.44386912882328033,1
23,-1.946285903453827,3.3596322536468506,-0.44386912882328033,1
24,-2.016861855983734,3.3878238201141357,-0.44386912882328033,1
25,-2.09591406583786,3.397397041320801,-0.44328320026397705,1
26,-2.1689800024032593,3.4183037281036377,-0.44328320026397705,1
27,-2.2430111169815063,3.435482978820801,-0.44328320026397705,1
28,-2.3178173303604126,3.448890447616577,-0.44328320026397705,1
29,-2.393206477165222,3.4584920406341553,-0.44328320026397705,1
30,-2.4637991189956665,3.4599716663360596,-0.4255291074514389,1
31,-2.539772868156433,3.4618968963623047,-0.4255291074514389,1
32,-2.6157466173171997,3.4599716663360596,-0.4255291074514389,1
33,-2.6915253400802612,3.4542009830474854,-0.4255291074514389,1
34,-2.766914486885071,3.4445993900299072,-0.4255291074514389,1
35,-2.8335667848587036,3.4398934841156006,-0.45090728998184204,1
36,-2.9075978994369507,3.4227142333984375,-0.45090728998184204,1
37,-2.9806638956069946,3.4018075466156006,-0.45090728998184204,1
38,-3.0525771379470825,3.3772268295288086,-0.45090728998184204,1
39,-3.1231530904769897,3.3490352630615234,-0.45090728998184204,1
40,-3.195041537284851,3.2883405685424805,-0.4594697803258896,1
41,-3.26240336894989,3.2531538009643555,-0.4594697803258896,1
42,-3.327896475791931,3.2146003246307373,-0.4594697803258896,1
43,-3.3913527727127075,3.172779083251953,-0.4594697803258896,1
44,-3.452609419822693,3.1277976036071777,-0.4594697803258896,1
45,-3.5329030752182007,3.0995359420776367,-0.4538704603910446,1
46,-3.5892947912216187,3.0485880374908447,-0.4538704603910446,1
47,-3.6430336236953735,2.99484920501709,-0.4538704603910446,1
48,-3.6939815282821655,2.938457489013672,-0.4538704603910446,1
49,-3.742007851600647,2.8795578479766846,-0.4538704603910446,1
50,-3.7753738164901733,2.8116986751556396,-0.43340009450912476,1
51,-3.8171950578689575,2.7482423782348633,-0.43340009450912476,1
52,-3.8557485342025757,2.6827492713928223,-0.43340009450912476,1
53,-3.8909353017807007,2.615387439727783,-0.43340009450912476,1
